num_feature_1,num_feature_2,num_feature_3,num_feature_4,num_feature_5,cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,target
0.4967141530112327,0.7624031797729671,0.7750200594713087,76,0.22289185394271432,,X,medium,type1,1
-0.13826430117118466,0.46585891616145947,0.21744163127717245,88,0.2043679401335755,B,Z,medium,type1,0
0.6476885381006925,-12.95643172630015,0.14903236264820177,19,0.26714496641826463,B,X,low,type1,0
1.5230298564080254,1.6990980829856275,0.19804126142020598,24,0.04348041513235572,C,Z,high,type1,1
-0.23415337472333597,12.32829081821745,1.7487116474659372,41,0.7876759677403041,C,W,low,type2,1
-0.23413695694918055,-7.742321190767951,0.10608897119113778,44,0.1773522545852897,A,Z,medium,type1,0
1.5792128155073915,15.484826510505926,0.8217400014126834,30,0.20913823468044693,A,Y,medium,type1,1
0.7674347291529088,9.877748210843382,2.7983515582973464,64,0.2510225242431955,A,Y,high,type2,1
-0.4694743859349521,-2.3423332197103788,0.6972666336673558,51,0.3120140734242388,C,Y,high,type1,0
0.5425600435859647,3.5847036266215255,2.881991774336703,79,0.45776403574738156,C,Z,low,type2,1
-0.46341769281246226,20.98321807641033,2.736649870984368,91,0.2836310729113443,C,Y,medium,type1,1
-0.46572975357025687,12.335478135058658,0.5642673403743166,20,0.350111033580919,A,Y,low,type1,1
0.24196227156603412,5.087836548981478,2.609961022526442,29,0.23655065823967167,C,Z,medium,type1,1
-1.913280244657798,2.623166830390157,2.7548804559783915,2,0.19217931026292626,C,Z,medium,type2,0
-1.7249178325130328,5.766090704516596,1.0131822892384166,97,0.08729113002609129,B,X,low,type1,0
-0.5622875292409727,-0.11763557942303393,0.4725094662424899,69,0.13875325676677036,B,Z,medium,type2,0
-1.0128311203344238,-16.047495057190147,1.4732404006049544,42,0.33763278419208714,C,X,medium,type2,0
0.3142473325952739,25.42177910534731,5.086705785994821,28,0.28713285486337586,A,Z,low,type1,1
-0.9080240755212109,6.553249991994015,2.0411743634353954,2,0.4257123545918033,B,W,medium,type1,1
-1.4123037013352915,8.98147265122537,,57,0.4400445879259418,C,Y,low,type1,0
1.465648768921554,4.420922501230913,2.2961739999941635,32,0.6087404315052743,B,W,high,type2,1
-0.22577630048653566,-2.35116800724588,1.1144478968174718,74,0.15541827985686046,B,Z,medium,type1,0
0.06752820468792384,3.1407551905122926,1.790667725057969,44,0.3968004449748408,A,W,low,type2,1
-1.4247481862134568,-10.993947621943112,2.6489994647017947,68,0.2887882736304089,C,X,medium,type2,0
-0.5443827245251827,27.770864980533045,1.4469956807154059,31,0.09426217224678088,C,Z,medium,type1,1
0.11092258970986608,-7.34511998422396,3.363844901544646,81,0.3997250106284622,A,Z,low,type2,0
-1.1509935774223028,-5.319662838471794,2.5613879195535922,83,0.2583642231172564,A,W,high,type2,0
0.37569801834567196,0.5974079561359957,1.9094049127902553,51,0.4729967950899558,,Y,low,type1,0
-0.600638689918805,17.880757248523775,0.3269041785291999,63,0.2938701351226424,C,Z,medium,type1,1
-0.2916937497932768,5.145089992626541,3.6151571999422205,39,0.618862938555719,B,Y,high,type2,1
-0.6017066122293969,-7.361357960304623,5.494796106652902,91,0.24194845276157614,C,W,high,type1,0
1.8522781845089378,17.543383607573396,0.29460035195963596,12,0.3350906450110626,C,W,medium,type2,1
-0.013497224737933921,12.310006267854813,1.3398034416037428,89,0.3316836527803422,A,W,low,type2,1
-1.0577109289559004,10.384349572164524,0.5992090383360161,79,0.08705141231062019,A,X,low,type2,1
